order_id,rating
ORD_00001,5
ORD_00003,2
ORD_00004,4
ORD_00005,1
ORD_00007,5
ORD_00008,4
ORD_00010,1
ORD_00011,3
ORD_00012,5
ORD_00013,5
ORD_00014,3
ORD_00015,3
ORD_00016,1
ORD_00020,2
ORD_00022,5
ORD_00023,5
ORD_00024,1
ORD_00026,1
ORD_00027,5
ORD_00028,5
ORD_00029,3
ORD_00030,3
ORD_00031,5
ORD_00033,4
ORD_00034,5
ORD_00035,4
ORD_00037,4
ORD_00038,3
ORD_00039,5
ORD_00042,1
ORD_00044,2
ORD_00045,4
ORD_00048,2
ORD_00049,4
ORD_00051,2
ORD_00052,5
ORD_00053,4
ORD_00054,4
ORD_00055,4
ORD_00056,5
ORD_00057,5
ORD_00058,1
ORD_00062,4
ORD_00063,2
ORD_00064,5
ORD_00065,5
ORD_00066,3
ORD_00067,4
ORD_00068,3
ORD_00069,4
ORD_00070,3
ORD_00071,5
ORD_00072,3
ORD_00073,4
ORD_00075,5
ORD_00076,3
ORD_00077,2
ORD_00078,1
ORD_00079,2
ORD_00081,4
ORD_00082,4
ORD_00083,4
ORD_00084,5
ORD_00085,5
ORD_00086,5
ORD_00088,5
ORD_00089,4
ORD_00091,5
ORD_00092,4
ORD_00101,4
ORD_00102,4
ORD_00103,4
ORD_00104,5
ORD_00105,2
ORD_00106,5
ORD_00107,4
ORD_00108,4
ORD_00111,1
ORD_00114,5
ORD_00116,4
ORD_00117,3
ORD_00118,5
ORD_00120,5
ORD_00121,3
ORD_00122,5
ORD_00124,5
ORD_00125,3
ORD_00126,4
ORD_00127,5
ORD_00129,5
ORD_00131,3
ORD_00132,5
ORD_00133,2
ORD_00136,5
ORD_00138,3
ORD_00140,5
ORD_00142,5
ORD_00144,1
ORD_00146,5
ORD_00147,2
ORD_00148,5
ORD_00149,4
ORD_00150,5
ORD_00151,5
ORD_00152,4
ORD_00153,1
ORD_00154,5
ORD_00155,2
ORD_00158,4
ORD_00159,4
ORD_00162,5
ORD_00164,2
ORD_00165,4
ORD_00166,1
ORD_00167,5
ORD_00169,3
ORD_00170,3
ORD_00171,3
ORD_00172,2
ORD_00174,3
ORD_00175,5
ORD_00178,1
ORD_00179,5
ORD_00180,2
ORD_00182,4
ORD_00183,5
ORD_00184,5
ORD_00185,1
ORD_00187,2
ORD_00189,5
ORD_00190,5
ORD_00192,3
ORD_00193,4
ORD_00194,3
ORD_00195,3
ORD_00196,2
ORD_00200,5
ORD_00202,5
ORD_00204,5
ORD_00205,5
ORD_00207,3
ORD_00208,5
ORD_00211,3
ORD_00213,3
ORD_00214,3
ORD_00216,4
ORD_00217,1
ORD_00219,4
ORD_00220,3
ORD_00223,4
ORD_00226,4
ORD_00227,5
ORD_00228,5
ORD_00230,5
ORD_00231,4
ORD_00232,5
ORD_00233,4
ORD_00234,5
ORD_00238,4
ORD_00239,4
ORD_00240,4
ORD_00243,3
ORD_00244,4
ORD_00245,4
ORD_00246,5
ORD_00247,1
ORD_00248,4
ORD_00249,4
ORD_00250,5
ORD_00251,1
ORD_00253,4
ORD_00254,5
ORD_00255,1
ORD_00256,1
ORD_00257,1
ORD_00259,5
ORD_00260,4
ORD_00261,3
ORD_00265,5
ORD_00266,5
ORD_00267,2
ORD_00268,5
ORD_00270,1
ORD_00271,4
ORD_00272,5
ORD_00273,3
ORD_00274,5
ORD_00275,4
ORD_00278,4
ORD_00279,4
ORD_00280,4
ORD_00281,4
ORD_00282,4
ORD_00284,4
ORD_00285,4
ORD_00287,5
ORD_00290,3
ORD_00291,5
ORD_00293,4
ORD_00295,4
ORD_00297,3
ORD_00298,4
ORD_00299,5
ORD_00302,5
ORD_00303,4
ORD_00304,1
ORD_00306,4
ORD_00307,4
ORD_00309,5
ORD_00310,5
ORD_00312,2
ORD_00313,5
ORD_00315,1
ORD_00316,3
ORD_00318,2
ORD_00320,5
ORD_00323,4
ORD_00324,5
ORD_00325,4
ORD_00327,3
ORD_00328,4
ORD_00329,5
ORD_00331,4
ORD_00334,1
ORD_00335,5
ORD_00336,5
ORD_00337,2
ORD_00338,4
ORD_00339,5
ORD_00340,3
ORD_00342,1
ORD_00343,3
ORD_00344,1
ORD_00348,1
ORD_00349,1
ORD_00350,5
ORD_00351,5
ORD_00352,4
ORD_00353,3
ORD_00355,1
ORD_00356,1
ORD_00358,4
ORD_00360,4
ORD_00361,4
ORD_00363,5
ORD_00365,3
ORD_00368,3
ORD_00369,4
ORD_00371,4
ORD_00372,4
ORD_00373,3
ORD_00374,3
ORD_00376,4
ORD_00379,3
ORD_00380,1
ORD_00381,5
ORD_00382,5
ORD_00383,5
ORD_00384,5
ORD_00385,1
ORD_00386,5
ORD_00387,4
ORD_00388,5
ORD_00389,5
ORD_00390,4
ORD_00391,4
ORD_00392,5
ORD_00394,3
ORD_00396,2
ORD_00397,5
ORD_00398,5
ORD_00400,4
ORD_00401,3
ORD_00403,2
ORD_00405,5
ORD_00409,5
ORD_00411,5
ORD_00413,5
ORD_00414,4
ORD_00415,2
ORD_00422,5
ORD_00423,4
ORD_00424,5
ORD_00425,5
ORD_00430,3
ORD_00431,2
ORD_00434,2
ORD_00435,3
ORD_00436,1
ORD_00437,5
ORD_00439,3
ORD_00440,3
ORD_00441,4
ORD_00442,4
ORD_00444,5
ORD_00448,5
ORD_00449,3
ORD_00452,5
ORD_00453,3
ORD_00454,4
ORD_00455,5
ORD_00456,1
ORD_00457,1
ORD_00459,4
ORD_00461,5
ORD_00462,4
ORD_00467,4
ORD_00468,4
ORD_00470,1
ORD_00472,5
ORD_00473,5
ORD_00475,5
ORD_00476,4
ORD_00478,4
ORD_00479,2
ORD_00480,5
ORD_00481,4
ORD_00482,1
ORD_00484,2
ORD_00485,5
ORD_00486,5
ORD_00487,5
ORD_00490,2
ORD_00491,5
ORD_00494,5
ORD_00496,5
ORD_00498,5
ORD_00499,2
ORD_00501,4
ORD_00502,5
ORD_00503,4
ORD_00505,4
ORD_00506,4
ORD_00508,3
ORD_00509,3
ORD_00511,1
ORD_00513,5
ORD_00514,5
ORD_00516,1
ORD_00517,5
ORD_00519,3
ORD_00520,4
ORD_00522,3
ORD_00523,4
ORD_00524,2
ORD_00525,1
ORD_00528,4
ORD_00529,4
ORD_00530,1
ORD_00531,4
ORD_00532,4
ORD_00533,5
ORD_00535,5
ORD_00536,3
ORD_00539,4
ORD_00540,4
ORD_00542,5
ORD_00545,5
ORD_00546,5
ORD_00547,4
ORD_00548,3
ORD_00549,2
ORD_00550,3
ORD_00557,5
ORD_00558,4
ORD_00559,1
ORD_00561,3
ORD_00564,5
ORD_00568,3
ORD_00570,5
ORD_00571,5
ORD_00574,4
ORD_00575,3
ORD_00576,5
ORD_00577,3
ORD_00578,2
ORD_00580,1
ORD_00582,3
ORD_00585,5
ORD_00587,5
ORD_00588,5
ORD_00590,4
ORD_00591,4
ORD_00592,5
ORD_00594,4
ORD_00595,1
ORD_00596,4
ORD_00598,3
ORD_00599,3
ORD_00600,5
ORD_00601,4
ORD_00602,4
ORD_00604,1
ORD_00606,3
ORD_00607,2
ORD_00608,4
ORD_00609,5
ORD_00610,3
ORD_00611,4
ORD_00614,5
ORD_00616,2
ORD_00618,3
ORD_00619,4
ORD_00620,4
ORD_00621,4
ORD_00624,5
ORD_00625,4
ORD_00627,5
ORD_00631,3
ORD_00632,1
ORD_00633,5
ORD_00635,1
ORD_00636,5
ORD_00637,1
ORD_00639,4
ORD_00643,5
ORD_00644,5
ORD_00645,4
ORD_00648,5
ORD_00649,4
ORD_00650,3
ORD_00653,4
ORD_00654,5
ORD_00655,4
ORD_00656,4
ORD_00657,5
ORD_00658,4
ORD_00659,5
ORD_00661,5
ORD_00663,5
ORD_00664,4
ORD_00666,5
ORD_00668,5
ORD_00671,3
ORD_00672,5
ORD_00673,5
ORD_00674,5
ORD_00677,5
ORD_00678,5
ORD_00680,5
ORD_00681,1
ORD_00682,5
ORD_00683,5
ORD_00684,3
ORD_00685,5
ORD_00686,5
ORD_00688,4
ORD_00689,5
ORD_00690,4
ORD_00691,3
ORD_00692,4
ORD_00693,1
ORD_00694,4
ORD_00696,4
ORD_00699,1
ORD_00700,4
ORD_00701,5
ORD_00702,4
ORD_00703,2
ORD_00704,5
ORD_00707,4
ORD_00708,4
ORD_00709,5
