user_id,city,signup_date
U_00001,Mumbai,2024-01-01
U_00002,Chennai,2024-01-03
U_00003,Gurgaon,2023-11-01
U_00004,Mumbai,2024-01-09
U_00005,Chennai,2023-11-23
U_00006,Bangalore,2023-11-30
U_00007,Hyderabad,2023-12-17
U_00008,Bangalore,2023-12-21
U_00009,Chennai,2024-01-27
U_00010,Hyderabad,2024-01-13
U_00011,Hyderabad,2024-01-08
U_00012,Bangalore,2023-11-04
U_00013,Chennai,2023-11-24
U_00014,Hyderabad,2023-12-18
U_00015,Chennai,2023-11-16
U_00016,Bangalore,2024-01-04
U_00017,Mumbai,2023-11-18
U_00018,Gurgaon,2023-11-13
U_00019,Delhi,2023-12-28
U_00020,Bangalore,2023-12-11
U_00021,Gurgaon,2023-12-06
U_00022,Chennai,2023-11-08
U_00023,Gurgaon,2023-12-16
U_00024,Gurgaon,2023-11-10
U_00025,Delhi,2024-01-27
U_00026,Hyderabad,2023-12-18
U_00027,Bangalore,2024-01-09
U_00028,Mumbai,2023-11-12
U_00029,Gurgaon,2024-01-27
U_00030,Delhi,2023-11-01
U_00031,Hyderabad,2024-01-14
U_00032,Gurgaon,2023-12-09
U_00033,Bangalore,2023-12-26
U_00034,Mumbai,2024-01-23
U_00035,Mumbai,2024-01-01
U_00036,Bangalore,2023-12-04
U_00037,Hyderabad,2023-11-19
U_00038,Gurgaon,2023-12-05
U_00039,Gurgaon,2023-11-01
U_00040,Hyderabad,2023-11-07
U_00041,Delhi,2024-01-25
U_00042,Hyderabad,2024-01-12
U_00043,Bangalore,2024-01-01
U_00044,Mumbai,2024-01-07
U_00045,Hyderabad,2023-12-04
U_00046,Delhi,2024-01-27
U_00047,Hyderabad,2023-11-14
U_00048,Bangalore,2023-11-02
U_00049,Hyderabad,2023-11-30
U_00050,Delhi,2024-01-04
U_00051,Hyderabad,2023-11-27
U_00052,Mumbai,2023-11-01
U_00053,Bangalore,2023-11-30
U_00054,Gurgaon,2024-01-23
U_00055,Gurgaon,2024-01-21
U_00056,Mumbai,2023-11-24
U_00057,Chennai,2023-11-06
U_00058,Bangalore,2024-01-25
U_00059,Hyderabad,2023-11-17
U_00060,Hyderabad,2023-11-26
U_00061,Gurgaon,2023-11-20
U_00062,Delhi,2024-01-18
U_00063,Gurgaon,2023-11-06
U_00064,Delhi,2023-12-26
U_00065,Gurgaon,2023-11-24
U_00066,Hyderabad,2023-12-31
U_00067,Hyderabad,2023-12-23
U_00068,Gurgaon,2023-12-21
U_00069,Bangalore,2023-12-15
U_00070,Delhi,2023-12-04
U_00071,Delhi,2024-01-03
U_00072,Gurgaon,2023-12-16
U_00073,Chennai,2023-12-20
U_00074,Mumbai,2024-01-12
U_00075,Chennai,2023-11-10
U_00076,Chennai,2023-11-20
U_00077,Delhi,2024-01-19
U_00078,Delhi,2023-11-04
U_00079,Delhi,2024-01-28
U_00080,Hyderabad,2023-12-06
U_00081,Gurgaon,2024-01-11
U_00082,Gurgaon,2023-11-02
U_00083,Delhi,2023-12-03
U_00084,Mumbai,2023-11-09
U_00085,Gurgaon,2024-01-22
U_00086,Hyderabad,2024-01-14
U_00087,Gurgaon,2024-01-06
U_00088,Gurgaon,2023-11-20
U_00089,Hyderabad,2023-11-16
U_00090,Delhi,2023-11-27
U_00091,Chennai,2024-01-21
U_00092,Mumbai,2024-01-27
U_00093,Hyderabad,2023-11-06
U_00094,Chennai,2023-12-18
U_00095,Bangalore,2024-01-27
U_00096,Gurgaon,2023-11-21
U_00097,Bangalore,2023-11-28
U_00098,Gurgaon,2023-11-25
U_00099,Chennai,2024-01-20
U_00100,Chennai,2024-01-03
U_00101,Hyderabad,2024-01-20
U_00102,Hyderabad,2023-11-19
U_00103,Gurgaon,2023-11-06
U_00104,Delhi,2024-01-11
U_00105,Gurgaon,2023-11-23
U_00106,Delhi,2023-12-17
U_00107,Mumbai,2023-11-27
U_00108,Chennai,2023-12-05
U_00109,Gurgaon,2023-11-14
U_00110,Hyderabad,2024-01-20
U_00111,Chennai,2023-12-25
U_00112,Chennai,2023-11-04
U_00113,Chennai,2023-12-16
U_00114,Delhi,2024-01-20
U_00115,Chennai,2023-11-09
U_00116,Mumbai,2023-12-09
U_00117,Gurgaon,2024-01-27
U_00118,Hyderabad,2023-12-27
U_00119,Hyderabad,2024-01-24
U_00120,Gurgaon,2024-01-22
U_00121,Gurgaon,2023-11-30
U_00122,Chennai,2023-11-21
U_00123,Mumbai,2023-12-04
U_00124,Mumbai,2023-12-12
U_00125,Delhi,2023-11-19
U_00126,Chennai,2024-01-23
U_00127,Gurgaon,2023-11-20
U_00128,Bangalore,2024-01-24
U_00129,Mumbai,2024-01-10
U_00130,Hyderabad,2023-11-10
U_00131,Chennai,2024-01-18
U_00132,Chennai,2024-01-29
U_00133,Mumbai,2023-11-29
U_00134,Bangalore,2023-12-09
U_00135,Hyderabad,2023-12-28
U_00136,Bangalore,2024-01-08
U_00137,Hyderabad,2023-11-30
U_00138,Hyderabad,2023-12-02
U_00139,Delhi,2023-11-20
U_00140,Chennai,2023-12-25
U_00141,Hyderabad,2023-12-25
U_00142,Chennai,2023-12-11
U_00143,Gurgaon,2024-01-13
U_00144,Bangalore,2023-12-10
U_00145,Gurgaon,2024-01-07
U_00146,Chennai,2024-01-05
U_00147,Mumbai,2023-11-12
U_00148,Bangalore,2024-01-29
U_00149,Hyderabad,2023-12-15
U_00150,Mumbai,2023-12-24
U_00151,Chennai,2023-12-22
U_00152,Hyderabad,2024-01-01
U_00153,Gurgaon,2023-11-25
U_00154,Gurgaon,2023-12-11
U_00155,Mumbai,2023-11-27
U_00156,Hyderabad,2023-12-02
U_00157,Hyderabad,2023-12-10
U_00158,Hyderabad,2024-01-19
U_00159,Chennai,2023-11-08
U_00160,Delhi,2024-01-05
U_00161,Gurgaon,2023-11-13
U_00162,Hyderabad,2024-01-05
U_00163,Mumbai,2023-11-02
U_00164,Hyderabad,2024-01-12
U_00165,Bangalore,2024-01-22
U_00166,Hyderabad,2023-11-08
U_00167,Delhi,2023-11-15
U_00168,Delhi,2023-12-11
U_00169,Bangalore,2023-12-21
U_00170,Delhi,2023-12-14
U_00171,Gurgaon,2023-12-28
U_00172,Delhi,2023-11-29
U_00173,Chennai,2024-01-25
U_00174,Mumbai,2024-01-22
U_00175,Chennai,2024-01-20
U_00176,Delhi,2023-11-03
U_00177,Hyderabad,2023-12-25
U_00178,Delhi,2023-12-31
U_00179,Bangalore,2023-12-18
U_00180,Mumbai,2023-12-29
